index,name,onclick,ykiho,doctor_info,specialties
1,인제대학교부산백병원,"HospitalMap.hospDrgMoveMap(""JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQzNjEyMjIjNTEjJDEjJDYjJDgz"",1);",JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQzNjEyMjIjNTEjJDEjJDYjJDgz,"총 인원 : 203명 (의사 : 196, 치과의사 : 7, 한의사 : 0)","내과 (45), 신경과 (7), 정신건강의학과 (4), 정형외과 (7), 신경외과 (7), 심장혈관흉부외과 (6), 성형외과 (3), 마취통증의학과 (9), 산부인과 (9), 소아청소년과 (8), 이비인후과 (6), 비뇨의학과 (5), 영상의학과 (16), 방사선종양학과 (3), 병리과 (4), 재활의학과 (3), 핵의학과 (3), 가정의학과 (3), 응급의학과 (10), 직업환경의학과 (5), 구강악안면외과 (3), 구강내과 (1), 통합치의학과 (1)"
2,동아대학교병원,"HospitalMap.hospDrgMoveMap(""JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQyIyQzIyQwMCQ0NjEwMDIjNDEjJDEjJDQjJDgz"",2);",JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQyIyQzIyQwMCQ0NjEwMDIjNDEjJDEjJDQjJDgz,"총 인원 : 203명 (의사 : 187, 치과의사 : 16, 한의사 : 0)","내과 (44), 신경과 (13), 정신건강의학과 (2), 외과 (12), 정형외과 (6), 신경외과 (6), 심장혈관흉부외과 (4), 성형외과 (2), 마취통증의학과 (6), 산부인과 (5), 소아청소년과 (6), 안과 (7), 이비인후과 (5), 피부과 (2), 비뇨의학과 (5), 영상의학과 (12), 방사선종양학과 (3), 병리과 (4), 진단검사의학과 (4), 재활의학과 (4), 핵의학과 (3), 가정의학과 (5), 응급의학과 (10), 직업환경의학과 (3), 예방의학과 (2), 구강악안면외과 (3), 치과보철과 (2), 치과교정과 (1), 치과보존과 (1)"
3,부산대학교병원,"HospitalMap.hospDrgMoveMap(""JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQyNjEyMjIjNDEjJDEjJDgjJDgz"",3);",JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQyNjEyMjIjNDEjJDEjJDgjJDgz,"총 인원 : 289명 (의사 : 273, 치과의사 : 16, 한의사 : 0)","내과 (65), 신경과 (11), 정신건강의학과 (5), 외과 (26), 정형외과 (9), 신경외과 (15), 심장혈관흉부외과 (16), 성형외과 (5), 마취통증의학과 (10), 산부인과 (10), 소아청소년과 (10), 안과 (12), 이비인후과 (10), 피부과 (3), 비뇨의학과 (8), 영상의학과 (16), 방사선종양학과 (3), 병리과 (4), 진단검사의학과 (6), 재활의학과 (6), 핵의학과 (2), 가정의학과 (6), 응급의학과 (7), 예방의학과 (2), 구강악안면외과 (2), 치과보철과 (1), 치주과 (1), 치과보존과 (1), 구강내과 (1), 통합치의학과 (2)"
4,고신대학교복음병원,"HospitalMap.hospDrgMoveMap(""JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQyNjE4MzIjODEjJDEjJDYjJDgz"",4);",JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQyNjE4MzIjODEjJDEjJDYjJDgz,"총 인원 : 191명 (의사 : 185, 치과의사 : 6, 한의사 : 0)","내과 (50), 신경과 (7), 정신건강의학과 (3), 외과 (20), 정형외과 (4), 신경외과 (5), 심장혈관흉부외과 (7), 성형외과 (3), 마취통증의학과 (8), 산부인과 (6), 소아청소년과 (5), 안과 (4), 이비인후과 (7), 피부과 (3), 비뇨의학과 (4), 영상의학과 (9), 방사선종양학과 (3), 병리과 (5), 진단검사의학과 (5), 재활의학과 (1), 핵의학과 (2), 가정의학과 (5), 응급의학과 (2), 직업환경의학과 (6), 예방의학과 (2), 치과보철과 (1), 치주과 (1), 통합치의학과 (1)"
5,양산부산대학교병원,"HospitalMap.hospDrgMoveMap(""JDQ4MTYyMiM4MSMkMSMkNCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3MiQyNjE0ODEjODEjJDEjJDYjJDgz"",5);",JDQ4MTYyMiM4MSMkMSMkNCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3MiQyNjE0ODEjODEjJDEjJDYjJDgz,"총 인원 : 285명 (의사 : 283, 치과의사 : 2, 한의사 : 0)","내과 (62), 신경과 (11), 정신건강의학과 (4), 외과 (20), 정형외과 (7), 신경외과 (9), 심장혈관흉부외과 (14), 성형외과 (4), 마취통증의학과 (19), 산부인과 (6), 소아청소년과 (32), 안과 (5), 이비인후과 (8), 피부과 (3), 비뇨의학과 (7), 영상의학과 (13), 방사선종양학과 (3), 병리과 (9), 진단검사의학과 (6), 재활의학과 (7), 핵의학과 (1), 가정의학과 (9), 응급의학과 (9), 직업환경의학과 (5), 예방의학과 (1), 구강악안면외과 (1)"
6,학교법인성균관대학삼성창원병원,"HospitalMap.hospDrgMoveMap(""JDQ4MTYyMiM4MSMkMSMkNCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3MiQyNjEyMjIjNjEjJDEjJDQjJDgz"",6);",JDQ4MTYyMiM4MSMkMSMkNCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3MiQyNjEyMjIjNjEjJDEjJDQjJDgz,"총 인원 : 213명 (의사 : 205, 치과의사 : 8, 한의사 : 0)","내과 (50), 신경과 (5), 정신건강의학과 (4), 외과 (17), 정형외과 (7), 신경외과 (8), 심장혈관흉부외과 (5), 성형외과 (2), 마취통증의학과 (7), 산부인과 (7), 소아청소년과 (11), 안과 (2), 이비인후과 (6), 피부과 (2), 비뇨의학과 (3), 영상의학과 (12), 방사선종양학과 (2), 병리과 (8), 진단검사의학과 (3), 재활의학과 (3), 핵의학과 (2), 가정의학과 (11), 응급의학과 (7), 직업환경의학과 (9), 구강악안면외과 (1), 영상치의학과 (1)"
7,학교법인 울산공업학원 울산대학교병원,"HospitalMap.hospDrgMoveMap(""JDQ4MTYyMiM4MSMkMSMkNCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5OSQyNjE4MzIjNDEjJDEjJDgjJDgz"",7);",JDQ4MTYyMiM4MSMkMSMkNCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5OSQyNjE4MzIjNDEjJDEjJDgjJDgz,"총 인원 : 279명 (의사 : 261, 치과의사 : 18, 한의사 : 0)","내과 (59), 신경과 (9), 정신건강의학과 (7), 외과 (23), 정형외과 (6), 신경외과 (8), 심장혈관흉부외과 (7), 성형외과 (3), 마취통증의학과 (14), 산부인과 (6), 소아청소년과 (12), 안과 (4), 이비인후과 (7), 피부과 (2), 비뇨의학과 (6), 영상의학과 (18), 방사선종양학과 (2), 병리과 (7), 진단검사의학과 (5), 재활의학과 (2), 핵의학과 (2), 가정의학과 (8), 응급의학과 (10), 직업환경의학과 (7), 예방의학과 (3), 구강악안면외과 (3), 치과보철과 (1), 소아치과 (1), 치주과 (1), 치과보존과 (1), 통합치의학과 (3)"
8,영남대학교병원,"HospitalMap.hospDrgMoveMap(""JDQ4MTYyMiM4MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4OSQzNjE0ODEjODEjJDEjJDYjJDgz"",8);",JDQ4MTYyMiM4MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4OSQzNjE0ODEjODEjJDEjJDYjJDgz,"총 인원 : 216명 (의사 : 213, 치과의사 : 3, 한의사 : 0)","내과 (55), 신경과 (6), 정신건강의학과 (5), 외과 (21), 정형외과 (8), 신경외과 (9), 심장혈관흉부외과 (8), 성형외과 (4), 마취통증의학과 (10), 산부인과 (6), 소아청소년과 (4), 안과 (11), 이비인후과 (3), 피부과 (3), 비뇨의학과 (5), 영상의학과 (11), 방사선종양학과 (4), 병리과 (6), 진단검사의학과 (4), 재활의학과 (4), 핵의학과 (4), 가정의학과 (3), 응급의학과 (6), 직업환경의학과 (2), 예방의학과 (2), 구강악안면외과 (1), 치과보철과 (1), 치과보존과 (1)"
9,대구가톨릭대학교병원,"HospitalMap.hospDrgMoveMap(""JDQ4MTYyMiM4MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQ0NjEwMDIjNTEjJDEjJDIjJDgz"",9);",JDQ4MTYyMiM4MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQ0NjEwMDIjNTEjJDEjJDIjJDgz,"총 인원 : 214명 (의사 : 206, 치과의사 : 8, 한의사 : 0)","내과 (56), 신경과 (6), 정신건강의학과 (6), 외과 (11), 정형외과 (6), 신경외과 (8), 심장혈관흉부외과 (6), 성형외과 (5), 마취통증의학과 (8), 산부인과 (7), 소아청소년과 (17), 안과 (7), 이비인후과 (5), 피부과 (2), 비뇨의학과 (4), 영상의학과 (9), 방사선종양학과 (2), 병리과 (6), 진단검사의학과 (4), 재활의학과 (3), 핵의학과 (2), 가정의학과 (5), 응급의학과 (6), 예방의학과 (4), 구강악안면외과 (2), 치과보철과 (1), 치주과 (1), 구강내과 (1), 통합치의학과 (2)"
10,경북대학교병원,"HospitalMap.hospDrgMoveMap(""JDQ4MTYyMiM4MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQyNjEwMDIjNzEjJDEjJDgjJDgz"",10);",JDQ4MTYyMiM4MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQyNjEwMDIjNzEjJDEjJDgjJDgz,"총 인원 : 222명 (의사 : 221, 치과의사 : 1, 한의사 : 0)","내과 (52), 신경과 (8), 정신건강의학과 (6), 외과 (16), 정형외과 (10), 신경외과 (9), 심장혈관흉부외과 (9), 성형외과 (3), 마취통증의학과 (11), 산부인과 (7), 소아청소년과 (12), 안과 (6), 이비인후과 (5), 피부과 (4), 비뇨의학과 (5), 영상의학과 (9), 방사선종양학과 (3), 병리과 (6), 진단검사의학과 (5), 재활의학과 (1), 핵의학과 (2), 가정의학과 (4), 응급의학과 (7), 예방의학과 (4), 치주과 (1)"
